sample_id,book_id,label,method,model,backend,membership_probability,n_queries,n_correct,absolute_error
BT_0103,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0104,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0105,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,0.8333333333333334,6,5,0.8333333333333334
BT_0106,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0107,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0108,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,0.0,6,0,0.0
BT_0109,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0110,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0111,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0112,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0113,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0114,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0115,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0116,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0117,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0118,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0119,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0120,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0121,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0122,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0123,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0124,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0125,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,0.8333333333333334,6,5,0.1666666666666666
BT_0126,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0127,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0128,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0129,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0130,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0131,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0132,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0133,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0134,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0135,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0136,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0137,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0138,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0139,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0140,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0141,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0142,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0143,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0144,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0145,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0146,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0147,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0148,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0149,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0150,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0151,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0152,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0153,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,0.8333333333333334,6,5,0.1666666666666666
BT_0154,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0155,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0156,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0157,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0158,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0159,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0160,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0161,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0162,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0163,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0164,Wuthering_Heights_-_Emily_Bronte,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0165,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0166,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0167,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0168,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0169,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0170,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0171,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0172,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0173,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,0.8333333333333334,6,5,0.1666666666666666
BT_0174,The_Darkness_Before_Them_-_Matthew_Ward,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0175,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,0.5,6,3,0.5
BT_0176,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0177,Oliver_Twist_-_Charles_Dickens,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0178,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0179,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0180,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0181,The_Silmarillion_-_J._R._R._Tolkien,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0182,Hedge_-_Jane_Delury,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0183,The_Spectacular_-_Fiona_Davis,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0184,Unfortunately_Yours_-_Tessa_Bailey,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0185,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0186,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0187,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0188,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0189,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0190,The_Foxglove_King_-_Hannah_Whitten,0,decop,llama-3.3-70b-versatile,groq,0.1666666666666666,6,1,0.1666666666666666
BT_0191,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0192,The_Age_of_Innocence_-_Edith_Wharton,1,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.3333333333333333
BT_0193,Happy_Place_-_Emily_Henry,0,decop,llama-3.3-70b-versatile,groq,1.0,6,6,1.0
BT_0194,Matilda_-_Roald_Dahl,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0195,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,0.6666666666666666,6,4,0.6666666666666666
BT_0196,The_Alchemist_-_Paulo_Coelho,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0197,1984_-_George_Orwell,1,decop,llama-3.3-70b-versatile,groq,1.0,6,6,0.0
BT_0198,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
BT_0199,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,decop,llama-3.3-70b-versatile,groq,0.3333333333333333,6,2,0.3333333333333333
