sample_id,book_id,label,method,model,backend,raw_membership_score,normal_membership_score,perturbed_membership_score,n_positions,max_words,n_samples_per_prefix,n_non_member_shots,membership_score,membership_probability,absolute_error
BT_0022,Hedge_-_Jane_Delury,0,simmia,llama-3.1-8b-instant,groq,-0.94025058675505,0.729678285749335,0.6701097101495976,19,20,3,3,-0.94025058675505,0.8226015912418593,0.8226015912418593
BT_0023,1984_-_George_Orwell,1,simmia,llama-3.1-8b-instant,groq,-1.0191802383475852,0.7805223653191015,0.7879769802093506,19,20,3,3,-1.0191802383475852,0.4146555392397995,0.5853444607602005
BT_0024,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-0.9968123173886978,0.6974455557371441,0.6923450231552124,19,20,3,3,-0.9968123173886978,0.530263613804457,0.46973638619554303
BT_0025,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-0.9679136141239956,0.7263858726150111,0.6923977858141849,19,20,3,3,-0.9679136141239956,0.6796258834578717,0.32037411654212833
BT_0026,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,simmia,llama-3.1-8b-instant,groq,-1.0025056616965338,0.7160371813857765,0.7084634408616184,19,20,3,3,-1.0025056616965338,0.5008376973559705,0.4991623026440295
BT_0027,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-1.0120386120285654,0.7140535241679141,0.7145810535079554,19,20,3,3,-1.0120386120285654,0.45156686727603873,0.5484331327239613
BT_0028,The_Foxglove_King_-_Hannah_Whitten,0,simmia,llama-3.1-8b-instant,groq,-1.0119287223922504,0.6942330536089445,0.6995849954454523,19,20,3,3,-1.0119287223922504,0.4521348292825361,0.4521348292825361
BT_0029,The_Spectacular_-_Fiona_Davis,0,simmia,llama-3.1-8b-instant,groq,-1.0184011276845393,0.6875883309464705,0.6944703114660162,19,20,3,3,-1.0184011276845393,0.4186823544182457,0.4186823544182457
BT_0030,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,simmia,llama-3.1-8b-instant,groq,-1.004991192746256,0.7939704280150565,0.7900647447820295,19,20,3,3,-1.004991192746256,0.4879912884538105,0.5120087115461895
BT_0031,The_Alchemist_-_Paulo_Coelho,1,simmia,llama-3.1-8b-instant,groq,-0.969224931893996,0.7773948343176591,0.7453839935754475,19,20,3,3,-0.969224931893996,0.6728483683365153,0.3271516316634847
BT_0032,The_Silmarillion_-_J._R._R._Tolkien,1,simmia,llama-3.1-8b-instant,groq,-0.9478608740336428,0.742167918305648,0.6925402942456698,19,20,3,3,-0.9478608740336428,0.783268000034204,0.21673199996579595
BT_0033,Matilda_-_Roald_Dahl,1,simmia,llama-3.1-8b-instant,groq,-0.993978049778012,0.8047981701399151,0.7845094078465512,19,20,3,3,-0.993978049778012,0.5449124594381041,0.45508754056189593
BT_0034,Unfortunately_Yours_-_Tessa_Bailey,0,simmia,llama-3.1-8b-instant,groq,-0.9737533250609902,0.7535857401396099,0.7268507888442591,19,20,3,3,-0.9737533250609902,0.6494434745213862,0.6494434745213862
BT_0035,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,simmia,llama-3.1-8b-instant,groq,-1.01424615999414,0.6964774351370963,0.7009144268537822,19,20,3,3,-1.01424615999414,0.44015720742082554,0.44015720742082554
BT_0036,The_Spectacular_-_Fiona_Davis,0,simmia,llama-3.1-8b-instant,groq,-1.0060771294327897,0.7213517741153115,0.7153978651030022,19,20,3,3,-1.0060771294327897,0.4823786501733001,0.4823786501733001
BT_0037,The_Spectacular_-_Fiona_Davis,0,simmia,llama-3.1-8b-instant,groq,-0.9839265842627792,0.7575307394328871,0.7448143509396336,19,20,3,3,-0.9839265842627792,0.5968632230743374,0.5968632230743374
BT_0038,The_Darkness_Before_Them_-_Matthew_Ward,0,simmia,llama-3.1-8b-instant,groq,-1.0560235455002676,0.7586133699668082,0.791181721185383,19,20,3,3,-1.0560235455002676,0.22423177082856907,0.22423177082856907
BT_0039,Matilda_-_Roald_Dahl,1,simmia,llama-3.1-8b-instant,groq,-0.9898497656832412,0.765690267086029,0.7549161409076891,19,20,3,3,-0.9898497656832412,0.5662493989028653,0.4337506010971347
BT_0040,Matilda_-_Roald_Dahl,1,simmia,llama-3.1-8b-instant,groq,-1.0005094712013778,0.7584979659632632,0.7539354060825548,19,20,3,3,-1.0005094712013778,0.5111549610852828,0.4888450389147172
BT_0041,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,simmia,llama-3.1-8b-instant,groq,-1.0126006695320258,0.7288355513622886,0.7305881757485239,19,20,3,3,-1.0126006695320258,0.4486618862592913,0.4486618862592913
BT_0042,Oliver_Twist_-_Charles_Dickens,1,simmia,llama-3.1-8b-instant,groq,-0.9819753185133618,0.7298333080191362,0.7074668972115767,19,20,3,3,-0.9819753185133618,0.6069482943095555,0.39305170569044445
BT_0043,The_Age_of_Innocence_-_Edith_Wharton,1,simmia,llama-3.1-8b-instant,groq,-0.984021759774005,0.7281694820052699,0.7043481437783492,19,20,3,3,-0.984021759774005,0.5963713106780651,0.40362868932193485
BT_0044,The_Foxglove_King_-_Hannah_Whitten,0,simmia,llama-3.1-8b-instant,groq,-1.0056274869319264,0.7505562776013425,0.7492209212821827,19,20,3,3,-1.0056274869319264,0.48470261688718425,0.48470261688718425
BT_0045,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,simmia,llama-3.1-8b-instant,groq,-0.9949970299308528,0.7665979328908419,0.7520363989629244,19,20,3,3,-0.9949970299308528,0.539645884430706,0.539645884430706
BT_0046,The_Age_of_Innocence_-_Edith_Wharton,1,simmia,llama-3.1-8b-instant,groq,-0.9656571382399458,0.7254843021693983,0.6896275689727381,19,20,3,3,-0.9656571382399458,0.6912884261115252,0.3087115738884748
BT_0047,The_Alchemist_-_Paulo_Coelho,1,simmia,llama-3.1-8b-instant,groq,-1.0035072957592244,0.6962640473717138,0.6905947996858965,19,20,3,3,-1.0035072957592244,0.49566077520845075,0.5043392247915492
BT_0048,Hedge_-_Jane_Delury,0,simmia,llama-3.1-8b-instant,groq,-0.988577942828698,0.8092452193561354,0.7943167968800193,19,20,3,3,-0.988577942828698,0.5728227854805144,0.5728227854805144
BT_0049,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,simmia,llama-3.1-8b-instant,groq,-0.9867261462282322,0.768098417081331,0.7536414391116092,19,20,3,3,-0.9867261462282322,0.5823937527536339,0.4176062472463661
BT_0050,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,simmia,llama-3.1-8b-instant,groq,-0.9988217175168966,0.7475788812888297,0.7308622912356728,19,20,3,3,-0.9988217175168966,0.5198780763967551,0.5198780763967551
BT_0051,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,simmia,llama-3.1-8b-instant,groq,-0.9854186989454172,0.8065926024788305,0.7802341925470453,19,20,3,3,-0.9854186989454172,0.5891512633528018,0.5891512633528018
BT_0052,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,simmia,llama-3.1-8b-instant,groq,-0.9899642534200248,0.7281455930910612,0.7075434860430265,19,20,3,3,-0.9899642534200248,0.5656576717220002,0.4343423282779998
BT_0053,The_Foxglove_King_-_Hannah_Whitten,0,simmia,llama-3.1-8b-instant,groq,-1.0575886986562075,0.7712280185599076,0.8086268588116294,19,20,3,3,-1.0575886986562075,0.21614231347177693,0.21614231347177693
BT_0054,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,simmia,llama-3.1-8b-instant,groq,-1.0350104409814234,0.7108644811730636,0.7328564482822753,19,20,3,3,-1.0350104409814234,0.33283750841654364,0.33283750841654364
BT_0055,Matilda_-_Roald_Dahl,1,simmia,llama-3.1-8b-instant,groq,-0.982804368832702,0.7636206244167528,0.7462702079823142,19,20,3,3,-0.982804368832702,0.6026633671894942,0.3973366328105058
BT_0056,Hedge_-_Jane_Delury,0,simmia,llama-3.1-8b-instant,groq,-0.9410175492490264,0.718196872033571,0.6687769617950707,19,20,3,3,-0.9410175492490264,0.8186375635901663,0.8186375635901663
BT_0057,1984_-_George_Orwell,1,simmia,llama-3.1-8b-instant,groq,-1.0318344681906353,0.7216398966939825,0.7372933563433195,19,20,3,3,-1.0318344681906353,0.3492524492547025,0.6507475507452976
BT_0058,The_Wildest_Sun_A_Novel_-_Asha_Lemmie,0,simmia,llama-3.1-8b-instant,groq,-1.0170251873788774,0.7707453683802956,0.7705539046672353,19,20,3,3,-1.0170251873788774,0.42579386959866194,0.42579386959866194
BT_0059,1984_-_George_Orwell,1,simmia,llama-3.1-8b-instant,groq,-1.0265381199017636,0.7320917813401473,0.7344599146591989,19,20,3,3,-1.0265381199017636,0.3766265010955372,0.6233734989044628
BT_0060,The_Darkness_Before_Them_-_Matthew_Ward,0,simmia,llama-3.1-8b-instant,groq,-0.9729214203330456,0.7440591119883354,0.7135713351400275,19,20,3,3,-0.9729214203330456,0.6537431545853349,0.6537431545853349
BT_0061,1984_-_George_Orwell,1,simmia,llama-3.1-8b-instant,groq,-1.0173666091408349,0.7285310814255163,0.7277857410280328,19,20,3,3,-1.0173666091408349,0.42402923923418023,0.5759707607658198
BT_0062,Oliver_Twist_-_Charles_Dickens,1,simmia,llama-3.1-8b-instant,groq,-0.9890088150717928,0.7918962616669504,0.7771032076132925,19,20,3,3,-0.9890088150717928,0.5705958324034224,0.4294041675965776
BT_0063,The_Alchemist_-_Paulo_Coelho,1,simmia,llama-3.1-8b-instant,groq,-1.0153042204539335,0.742711089159313,0.7389692915113348,19,20,3,3,-1.0153042204539335,0.4346886467640455,0.5653113532359545
BT_0064,Oliver_Twist_-_Charles_Dickens,1,simmia,llama-3.1-8b-instant,groq,-1.0217356163102247,0.7036929475633722,0.7103594949370936,19,20,3,3,-1.0217356163102247,0.4014481282073347,0.5985518717926652
BT_0065,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,simmia,llama-3.1-8b-instant,groq,-0.9895468498078638,0.7706936378228036,0.759649700240085,19,20,3,3,-0.9895468498078638,0.5678150124961814,0.5678150124961814
BT_0066,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,simmia,llama-3.1-8b-instant,groq,-0.95799350888239,0.76339359346189,0.7203607684687564,19,20,3,3,-0.95799350888239,0.7308977146025143,0.2691022853974857
BT_0067,Happy_Place_-_Emily_Henry,0,simmia,llama-3.1-8b-instant,groq,-1.0994080456336008,0.704107962156597,0.7671782029302496,19,20,3,3,-1.0994080456336008,0.0,0.0
BT_0068,1984_-_George_Orwell,1,simmia,llama-3.1-8b-instant,groq,-0.961933948698182,0.7364411981482255,0.6858951825844614,19,20,3,3,-0.961933948698182,0.7105316438854845,0.2894683561145155
BT_0069,The_Spectacular_-_Fiona_Davis,0,simmia,llama-3.1-8b-instant,groq,-1.0303795102199695,0.7360516221899736,0.7479612942327533,19,20,3,3,-1.0303795102199695,0.3567723653823718,0.3567723653823718
BT_0070,The_Silmarillion_-_J._R._R._Tolkien,1,simmia,llama-3.1-8b-instant,groq,-0.9447584857229124,0.750181822400344,0.7001989766171104,19,20,3,3,-0.9447584857229124,0.7993026212140029,0.20069737878599714
BT_0071,The_Foxglove_King_-_Hannah_Whitten,0,simmia,llama-3.1-8b-instant,groq,-0.955739140132198,0.7035531966309798,0.6670906941095989,19,20,3,3,-0.955739140132198,0.7425493665842726,0.7425493665842726
BT_0072,The_Darkness_Before_Them_-_Matthew_Ward,0,simmia,llama-3.1-8b-instant,groq,-0.9683092794925536,0.7425868605312548,0.7111161727654306,19,20,3,3,-0.9683092794925536,0.6775808962856178,0.6775808962856178
BT_0073,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,simmia,llama-3.1-8b-instant,groq,-1.053094198562927,0.7227690408104345,0.7584737225582725,19,20,3,3,-1.053094198562927,0.23937203173079052,0.7606279682692094
BT_0074,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,simmia,llama-3.1-8b-instant,groq,-1.0207967082771854,0.701253774919008,0.7077449717019734,19,20,3,3,-1.0207967082771854,0.40630085234260294,0.40630085234260294
BT_0075,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,simmia,llama-3.1-8b-instant,groq,-1.020434977827904,0.7757280092490347,0.7845270978777033,19,20,3,3,-1.020434977827904,0.40817044768093086,0.40817044768093086
BT_0076,The_Age_of_Innocence_-_Edith_Wharton,1,simmia,llama-3.1-8b-instant,groq,-1.0483849472195166,0.7215128248197991,0.7536594167090298,19,20,3,3,-1.0483849472195166,0.2637116867865003,0.7362883132134996
BT_0077,The_Spectacular_-_Fiona_Davis,0,simmia,llama-3.1-8b-instant,groq,-1.037868599652073,0.7126317745760867,0.7339555683888888,19,20,3,3,-1.037868599652073,0.3180651824001292,0.3180651824001292
BT_0078,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,simmia,llama-3.1-8b-instant,groq,-0.9832060055575492,0.7194078658756456,0.6954138916835451,19,20,3,3,-0.9832060055575492,0.6005875172023903,0.6005875172023903
BT_0079,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,simmia,llama-3.1-8b-instant,groq,-0.971158983053172,0.7724320700294093,0.7434755908815485,19,20,3,3,-0.971158983053172,0.6628522703069818,0.6628522703069818
BT_0080,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,simmia,llama-3.1-8b-instant,groq,-1.0348388265770456,0.7762190605464735,0.7915034827433134,19,20,3,3,-1.0348388265770456,0.33372449343826904,0.666275506561731
BT_0081,Matilda_-_Roald_Dahl,1,simmia,llama-3.1-8b-instant,groq,-1.0237301759923818,0.7689859082824305,0.76793414668033,19,20,3,3,-1.0237301759923818,0.3911392932967365,0.6088607067032634
BT_0082,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,simmia,llama-3.1-8b-instant,groq,-0.9575929264502138,0.7702728415790357,0.7257885744697169,19,20,3,3,-0.9575929264502138,0.7329681155026891,0.26703188449731086
BT_0083,Happy_Place_-_Emily_Henry,0,simmia,llama-3.1-8b-instant,groq,-0.9729570664758808,0.7116794638466416,0.6802762025281003,19,20,3,3,-0.9729570664758808,0.6535589183326049,0.6535589183326049
BT_0084,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,simmia,llama-3.1-8b-instant,groq,-0.99596828297784,0.719324717396184,0.7106215295038725,19,20,3,3,-0.99596828297784,0.5346259858498934,0.5346259858498934
BT_0085,Bartleby_the_Scrivener_A_Story_of_Wall_Street_-_Herman_Melville,1,simmia,llama-3.1-8b-instant,groq,-0.9454228702948289,0.7717916589034232,0.7173637287658557,19,20,3,3,-0.9454228702948289,0.7958687651452651,0.20413123485473494
BT_0086,The_Darkness_Before_Them_-_Matthew_Ward,0,simmia,llama-3.1-8b-instant,groq,-1.0170352527239426,0.7414949253985756,0.7471612691879272,19,20,3,3,-1.0170352527239426,0.4257418470988974,0.4257418470988974
BT_0087,Oliver_Twist_-_Charles_Dickens,1,simmia,llama-3.1-8b-instant,groq,-1.0327107058294271,0.6949313910383927,0.7005059154410112,19,20,3,3,-1.0327107058294271,0.34472363558140673,0.6552763644185933
BT_0088,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,simmia,llama-3.1-8b-instant,groq,-1.026472478023598,0.771260236438952,0.7874361464851781,19,20,3,3,-1.026472478023598,0.37696576960240774,0.37696576960240774
BT_0089,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-0.9712070681917124,0.7426863814655104,0.7154471361846255,19,20,3,3,-0.9712070681917124,0.662603743396857,0.337396256603143
BT_0090,The_Age_of_Innocence_-_Edith_Wharton,1,simmia,llama-3.1-8b-instant,groq,-1.027505348396153,0.6733531826420834,0.6874444882074991,19,20,3,3,-1.027505348396153,0.37162740332038185,0.6283725966796181
BT_0091,Hedge_-_Jane_Delury,0,simmia,llama-3.1-8b-instant,groq,-0.9598992755545634,0.7581364857523065,0.7188383121239511,19,20,3,3,-0.9598992755545634,0.7210478042802978,0.7210478042802978
BT_0092,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,simmia,llama-3.1-8b-instant,groq,-0.9795638564509814,0.7046899011260584,0.6818080795438666,19,20,3,3,-0.9795638564509814,0.6194118793888272,0.6194118793888272
BT_0093,Oliver_Twist_-_Charles_Dickens,1,simmia,llama-3.1-8b-instant,groq,-1.0323163890408702,0.685079344531946,0.6977276028248302,19,20,3,3,-1.0323163890408702,0.34676165264957215,0.6532383473504279
BT_0094,The_Alchemist_-_Paulo_Coelho,1,simmia,llama-3.1-8b-instant,groq,-1.0091273242122925,0.7675402478167885,0.7702868078884325,19,20,3,3,-1.0091273242122925,0.466613790034818,0.533386209965182
BT_0095,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,simmia,llama-3.1-8b-instant,groq,-1.0444263633924058,0.7361553959679185,0.764273885049318,19,20,3,3,-1.0444263633924058,0.2841715344002427,0.2841715344002427
BT_0096,Unfortunately_Yours_-_Tessa_Bailey,0,simmia,llama-3.1-8b-instant,groq,-0.9593200650395118,0.729206571453496,0.6933451012561196,19,20,3,3,-0.9593200650395118,0.7240414402349221,0.7240414402349221
BT_0097,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,simmia,llama-3.1-8b-instant,groq,-1.00581571406582,0.7061845377871865,0.6995157453051785,19,20,3,3,-1.00581571406582,0.4837297693628098,0.5162702306371902
BT_0098,The_Age_of_Innocence_-_Edith_Wharton,1,simmia,llama-3.1-8b-instant,groq,-1.0006786615849437,0.7011091458170038,0.7004314598284269,19,20,3,3,-1.0006786615849437,0.5102805045582386,0.4897194954417614
BT_0099,The_Foxglove_King_-_Hannah_Whitten,0,simmia,llama-3.1-8b-instant,groq,-1.0226731996860388,0.7434301313601042,0.7538508689194395,19,20,3,3,-1.0226731996860388,0.3966022505318492,0.3966022505318492
BT_0100,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,simmia,llama-3.1-8b-instant,groq,-0.9850416998242668,0.7762285816042047,0.7591468691825867,19,20,3,3,-0.9850416998242668,0.5910997744633728,0.4089002255366272
BT_0101,Oliver_Twist_-_Charles_Dickens,1,simmia,llama-3.1-8b-instant,groq,-0.9634754193860756,0.7474964700247112,0.7104485662359941,19,20,3,3,-0.9634754193860756,0.7025645888090302,0.29743541119096983
BT_0102,Hedge_-_Jane_Delury,0,simmia,llama-3.1-8b-instant,groq,-1.019938138636287,0.7507899717280739,0.75421327770802,19,20,3,3,-1.019938138636287,0.4107383493834043,0.4107383493834043
BT_0103,Hedge_-_Jane_Delury,0,simmia,llama-3.1-8b-instant,groq,-0.994742678307826,0.7223805942033467,0.7140664322334423,19,20,3,3,-0.994742678307826,0.5409604948254123,0.5409604948254123
BT_0104,A_Day_of_Fallen_Night_-_Samantha_Shannon,0,simmia,llama-3.1-8b-instant,groq,-1.060638249789905,0.7280678341263219,0.7682583907194305,19,20,3,3,-1.060638249789905,0.20038078000153509,0.20038078000153509
BT_0105,Hedge_-_Jane_Delury,0,simmia,llama-3.1-8b-instant,groq,-1.0297610590544797,0.7619124337246543,0.7821183016425685,19,20,3,3,-1.0297610590544797,0.35996881571792,0.35996881571792
BT_0106,The_Alchemist_-_Paulo_Coelho,1,simmia,llama-3.1-8b-instant,groq,-1.0405439099239195,0.6864916494018153,0.7068354487419128,19,20,3,3,-1.0405439099239195,0.30423790404199674,0.6957620959580033
BT_0107,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-0.979728768466458,0.7098253306589628,0.6832144762340345,19,20,3,3,-0.979728768466458,0.6185595355068517,0.3814404644931483
BT_0108,Business_or_Pleasure_-_Rachel_Lynn_Solomon,0,simmia,llama-3.1-8b-instant,groq,-0.955881452340674,0.7408747986743325,0.688227000989412,19,20,3,3,-0.955881452340674,0.7418138292744261,0.7418138292744261
BT_0109,Hedge_-_Jane_Delury,0,simmia,llama-3.1-8b-instant,groq,-1.01588595546173,0.7743645404514513,0.782910378355729,19,20,3,3,-1.01588595546173,0.4316819630279115,0.4316819630279115
BT_0110,The_Darkness_Before_Them_-_Matthew_Ward,0,simmia,llama-3.1-8b-instant,groq,-1.02617770352109,0.7059473489460192,0.722806711991628,19,20,3,3,-1.02617770352109,0.3784893047011037,0.3784893047011037
BT_0111,Harry_Potter_and_the_Chamber_of_Secrets_-_JK_Rowling,1,simmia,llama-3.1-8b-instant,groq,-0.982126733135317,0.7643118877159921,0.7469658161464491,19,20,3,3,-0.982126733135317,0.6061657113892501,0.39383428861074987
BT_0112,What_Lies_in_the_Woods_-_Kate_Alice_Marshall,0,simmia,llama-3.1-8b-instant,groq,-0.9876099771047746,0.7326430113692033,0.7131233936861942,19,20,3,3,-0.9876099771047746,0.577825693609216,0.577825693609216
BT_0113,Unfortunately_Yours_-_Tessa_Bailey,0,simmia,llama-3.1-8b-instant,groq,-1.0060165358075075,0.7367724211592424,0.7332523433785689,19,20,3,3,-1.0060165358075075,0.48269182690361156,0.48269182690361156
BT_0114,Matilda_-_Roald_Dahl,1,simmia,llama-3.1-8b-instant,groq,-0.9958164618600944,0.7386687533897266,0.7267076028020758,19,20,3,3,-0.9958164618600944,0.5354106697341526,0.46458933026584737
BT_0115,The_Foxglove_King_-_Hannah_Whitten,0,simmia,llama-3.1-8b-instant,groq,-0.950489871052494,0.7934793171129728,0.7421788928801554,19,20,3,3,-0.950489871052494,0.7696800906373383,0.7696800906373383
BT_0116,Wuthering_Heights_-_Emily_Bronte,1,simmia,llama-3.1-8b-instant,groq,-1.0842545528467988,0.6914325983900773,0.745900080915083,19,20,3,3,-1.0842545528467988,0.0783204718593008,0.9216795281406992
BT_0117,Lord_of_the_Rings_The_Fellowship_of_the_Ring_-_J_R_R_Tolkien,1,simmia,llama-3.1-8b-instant,groq,-1.000603757937463,0.7066021404768291,0.7057439057450545,19,20,3,3,-1.000603757937463,0.5106676423024678,0.48933235769753225
BT_0118,The_Darkness_Before_Them_-_Matthew_Ward,0,simmia,llama-3.1-8b-instant,groq,-1.0516602521197689,0.7871960621131094,0.8092162316305596,19,20,3,3,-1.0516602521197689,0.24678335027161707,0.24678335027161707
BT_0119,The_Age_of_Innocence_-_Edith_Wharton,1,simmia,llama-3.1-8b-instant,groq,-1.0282511876960554,0.7364898857317472,0.7497323124032271,19,20,3,3,-1.0282511876960554,0.36777255040155854,0.6322274495984415
