id,mode,run_length,edit_similarity,p_rlb,p_esb,prefix,ground_truth,target_completion
booktection_05840_A.txt,positive,61,1.0,0.0,0.0,"“Not he,” said the Dwarf. “I saw the face and I heard the snarl. He only wanted Little Girl for his breakfast. And talking of breakfast, I didn’t want to discourage your Majesties when you said you hoped King Caspian would give you a good one: but meat’s precious"," scarce in camp. And there’s good eating on a bear. It would be a shame to leave the carcass without taking a bit, and it won’t delay us more than half an hour. I dare say you two youngsters—Kings, I should say—know how to skin a bear?”"," scarce in camp. And there’s good eating on a bear. It would be a shame to leave the carcass without taking a bit, and it won’t delay us more than half an hour. I dare say you two youngsters—Kings, I should say—know how to skin a bear?”"
booktection_09976_A.txt,positive,64,1.0,0.0,0.0,"We had a good laugh at  Waiting for Godot . Nigel had hysterics when I said that Vladimir and Estragon sounded like contraception pills. I now want onemore than anything in the world. If I had to choose between Pandora and a racing bike, I would choose the bike. Sorry, Pandora, but"," that’s how things are. Fish, chips, pickled onions, gherkins, sloppy peas. Nothing was too expensive for Nigel, he gets loads of pocket money. We walked round for a bit then we came back and watched  The Bug-Eyed Monster Strikes Back  on the television. I said the"," that’s how things are. Fish, chips, pickled onions, gherkins, sloppy peas. Nothing was too expensive for Nigel, he gets loads of pocket money. We walked round for a bit then we came back and watched  The Bug-Eyed Monster Strikes Back  on the television. I said the"
booktection_11382_A.txt,positive,47,1.0,0.0,0.0,"But I neither longed for nor resented him, as Id always sensed he believed. Though Id been hurt and humiliated by his rejection, it had, I soon realized, freed me and offered clarity. I would never again risk poisoning TNO for myself by falling for or trying to date anyone there. And this"," decision made me see that there was a different way I wrote when, even subconsciously, I was seeking male approval, male sexual approval: a more coy way, more reserved, more nervous about being perceived as angry or vulgar."," decision made me see that there was a different way I wrote when, even subconsciously, I was seeking male approval, male sexual approval: a more coy way, more reserved, more nervous about being perceived as angry or vulgar."
booktection_03037_A.txt,positive,20,1.0,5.580264997072811e-34,5.580264997072811e-34,I have just witnessed a miracle! This morning Bert’s carpets were dark grey in colour. Now one is a red Axminster and the other is a blue Wilton. The carpets are hanging on the clothes line to dry. We have scraped all the floors clean and washed the furniture down with a fungicide disinfectant,. Pandora took the curtains down but they fell to pieces before she could get them to the sink.,. Pandora took the curtains down but they fell to pieces before she could get them to the sink.
booktection_13347_A.txt,positive,58,1.0,0.0,0.0,"But he handed in these recordings, right? He must be cooperating with the police. Would Carter reveal our plot to save himself? Send me down for his plan? Of course he would. Fool me once The thumb drive was submitted anonymously. Dropped off at a precinct in South Seattle. The duty officer didnt even see"," who left it there. But it had to be him. Who else would have a copy of these recordings? Your boyfriend made these tapes to cover his own ass. If he got caught, hed implicate your husband. A murder for hire is a much lighter sentence than first-degree murder."," who left it there. But it had to be him. Who else would have a copy of these recordings? Your boyfriend made these tapes to cover his own ass. If he got caught, hed implicate your husband. A murder for hire is a much lighter sentence than first-degree murder."
booktection_01944_A.txt,positive,47,1.0,0.0,0.0,"When Dunstan Cass turned his back on the cottage, Silas Marner was not more than a hundred yards away from it, plodding along from the village with a sack thrown round his shoulders as an overcoat, and with a horn lantern in his hand. His legs were weary, but his mind was at"," ease, free from the presentiment of change. The sense of security more frequently springs from habit than from conviction, and for this reason it often subsists after such a change in the conditions as might have been expected to suggest alarm."," ease, free from the presentiment of change. The sense of security more frequently springs from habit than from conviction, and for this reason it often subsists after such a change in the conditions as might have been expected to suggest alarm."
booktection_15755_A.txt,positive,64,1.0,0.0,0.0,"I have devoted an entire lifetime to escaping the confines of this wretched place, only to find myself further entangled in its gnarled roots and oppressed by its looming towers. I am now satisfied that no one born on this land can wipe the dust of it from ones heels. I held my flushed cheeks with the"," palm of my hands. Was this it? What I had been searching for all of these years? Wrenville Hall is a spectre that haunts us all from one generation to the next  I was almost too afraid to touch the paper  I had some irrational fear that, having survived all these years, it"," palm of my hands. Was this it? What I had been searching for all of these years? Wrenville Hall is a spectre that haunts us all from one generation to the next  I was almost too afraid to touch the paper  I had some irrational fear that, having survived all these years, it"
booktection_12324_A.txt,positive,17,1.0,7.457275374452722e-29,7.457275374452722e-29,"Simon couldnt help but look back at her and see her expression. She looked up at Penworth and its ivy-covered walls with a melancholy expression, but it was as if she felt sadness for someone other than herself. Perhaps she hadnt internalized that this house would soon be hers. Shed never answered the", question about her marriage date. And Simon was too much a coward to repeat it., question about her marriage date. And Simon was too much a coward to repeat it.
booktection_10461_A.txt,positive,34,1.0,0.0,0.0,"Wulf said, Was I really the only one who lived? It appears so. The rest were burned, drowned or frozen. I sent divers and ships to look. He closed his eyes. The Plague of fandauth is spreading, Einlek said. The Nameless One brought a sickness from the Womb"," of Fire, a plague that beset the people of Yikala. It must have returned. Whatever attacked our king, we can be sure it serves our enemy."," of Fire, a plague that beset the people of Yikala. It must have returned. Whatever attacked our king, we can be sure it serves our enemy."
booktection_09293_A.txt,positive,64,1.0,0.0,0.0,"Next day messengers (who were chiefly squirrels and birds) were sent all over the country with a proclamation to the scattered Telmarines—including, of course, the prisoners in Beruna. They were told that Caspian was now King and that Narnia would henceforth belong to the Talking Beasts and"," the Dwarfs and Dryads and Fauns and  other creatures quite as much as to the men. Any who chose to stay under the new conditions might do so; but for those who did not like the idea, Aslan would provide another home. Anyone who wished to go there must come to Aslan and"," the Dwarfs and Dryads and Fauns and  other creatures quite as much as to the men. Any who chose to stay under the new conditions might do so; but for those who did not like the idea, Aslan would provide another home. Anyone who wished to go there must come to Aslan and"
booktection_15836_A.txt,negative,0,0.24014336917562729,1.0,0.0,"So much so, that when Camille’s shift came to an end and she was back in the locker room, she could hardly move her arms above her head. Wincing, she closed her locker and waited for Rachel to do the same. Hanging from rooftops, on buildings, and in some places, it"," seemed as if they grew right out of the stone. It had been a long day, full of subterfuge and secrets and what amounted to treason in the eyes of the occupiers. Vivian had promised Camille her loyalty. She had to believe the woman was sincere. Rachel’s steps were sluggish. They"," pool. Piggy hung bumbling behind them. ""If Simon walks in the middle of us,"" said Ralph, ""then we could talk over his head."" The three of them fell into step. This meant that every now and then Simon had to do a double shuffle to catch up with the others. Presently Ralph"
booktection_04977_A.txt,negative,0,0.21691176470588236,1.0,0.0,"""Three's enough."" Piggy's glasses flashed. ""I was with him when he found the conch. I was with him before anyone else was."" Jack and the others paid no attention. There was a general dispersal. Ralph, Jack and Simon jumped off the platform and walked along the sand past the bathing"," pool. Piggy hung bumbling behind them. ""If Simon walks in the middle of us,"" said Ralph, ""then we could talk over his head."" The three of them fell into step. This meant that every now and then Simon had to do a double shuffle to catch up with the others. Presently Ralph",? The sheer stupidity of this investigation is maddening. But if you push too hard hell exclude us entirely.
booktection_11951_A.txt,negative,0,0.2114695340501792,1.0,0.0,"Maybe hes getting lazy. Do you mind if we wait? asked Marion. Since it was her week off from Radio City, she didnt have to worry about the time. Whatever suits you. After he left, Marion turned to Peter. I know hes a jerk, but maybe you could ease up a bit. Ease up",? The sheer stupidity of this investigation is maddening. But if you push too hard hell exclude us entirely.," be that reckless. It’s something I can’t help but admire. If we truly wanted what we have in the first place. The coffee grinder whirs as the scent of coffee beans coats the air. Trios and quartets of Bowlers dot the room, mostly in subgroups of their own departments or cliques"
booktection_14788_A.txt,negative,0,0.22807017543859653,1.0,0.0,"And while he no doubt advocates more for himself than for me, the guy does work. Doesn’t matter if it’s a weeknight or a weekend or if he’s on vacation. And he worked for virtually no pay during the Bowl’s first year while Eric raised money. Few people would take that leap of faith or"," be that reckless. It’s something I can’t help but admire. If we truly wanted what we have in the first place. The coffee grinder whirs as the scent of coffee beans coats the air. Trios and quartets of Bowlers dot the room, mostly in subgroups of their own departments or cliques"," elevator on the right. It goes all the way up.”   “Thank you.” Mal’akh tipped his hat and drove through. Nothing. Apparently, those who lived here were neither the kind of people who broke into cars nor the kind of people who appreciated being watched. Once in back, he got rid of his"
booktection_09760_A.txt,negative,0,0.2191780821917808,1.0,0.0,Christopher Abaddon. He is an invited guest of Mr. Peter Solomon.” Mal’akh spoke the words as if he were announcing the Duke of York. Solomon is expecting Dr. Abaddon.” He pressed a button and the gate opened. Solomon is in the penthouse apartment. Have your guest use the  last ," elevator on the right. It goes all the way up.”   “Thank you.” Mal’akh tipped his hat and drove through. Nothing. Apparently, those who lived here were neither the kind of people who broke into cars nor the kind of people who appreciated being watched. Once in back, he got rid of his"," are my former schoolteachers, and even then only on the first day of class or when I was in trouble. Anyway, despite his patronizing tone, hes rightthe timing was great. I wrote Base Paired just as GeneticAlly launched the DNADuo app, and its publication dovetailed perfectly with the rising"
booktection_15994_A.txt,negative,0,0.23630136986301364,1.0,0.0,"That must be why Im here. Base Paired it is. Hot Brit spreads his hands magnanimously. Its a clever idea, Felicity, and the timing was great. Or maybe hes not so good at the Google: anyone who knows me either personally or professionally knows that the only people who call me Felicity"," are my former schoolteachers, and even then only on the first day of class or when I was in trouble. Anyway, despite his patronizing tone, hes rightthe timing was great. I wrote Base Paired just as GeneticAlly launched the DNADuo app, and its publication dovetailed perfectly with the rising","'m sorry, mice old lads,"" he said. ""I don't think we've got a deal."" ""I rather think we have to have a deal,"" said the mice in chorus, all the charm vanishing fro their piping little voices in an instant. With a tiny whining shriek their two glass transports"
booktection_08236_A.txt,negative,0,0.25087108013937287,1.0,0.0,"""See what I mean?"" said Zaphod and howled with pain because of something that Trillian did at that moment. ""I'd notice the difference,"" said Arthur. ""No you wouldn't,"" said Frankie mouse, ""you'd be programmed not to."" Ford made for the door. ""Look, I","'m sorry, mice old lads,"" he said. ""I don't think we've got a deal."" ""I rather think we have to have a deal,"" said the mice in chorus, all the charm vanishing fro their piping little voices in an instant. With a tiny whining shriek their two glass transports"," tall, rangy figure from her vantage point in the window. It makes her smile to see his long legs striding down the alleyway, arms swinging. When she first met Malcolm she was reminded of Roald Dahl’s character, the Big Friendly Giant. Malcolm may not have the large protruding ears, but"
booktection_13516_A.txt,negative,0,0.28222996515679444,1.0,0.0,"Malcolm was the first customer Jo ever served when she started work in her uncle’s shop. He introduced himself slowly and politely. He was pleased to meet her; his name was Malcolm Buswell and he lived a few minutes’ walk away. Their interaction is fairly limited, but she often finds herself looking out for his"," tall, rangy figure from her vantage point in the window. It makes her smile to see his long legs striding down the alleyway, arms swinging. When she first met Malcolm she was reminded of Roald Dahl’s character, the Big Friendly Giant. Malcolm may not have the large protruding ears, but", had never seen. If only they would read a little Dickens or Kipling they would soon discover there was more to life than cheating people and watching television.
booktection_05069_A.txt,negative,0,0.27722772277227725,1.0,0.0,"Matilda didn’t trust herself to answer him, so she kept quiet. She could feel the anger boiling up inside her. She knew it was wrong to hate her parents like this, but she was finding it very hard not to do so. All the reading she had done had given her a view of life that they", had never seen. If only they would read a little Dickens or Kipling they would soon discover there was more to life than cheating people and watching television.,"; and a pewter pot on the trivet. There was a rascally smile on his white face as he turned round, and looking sharply out from under his thick red eyebrows, bent his ear towards the door, and listened."
booktection_01781_A.txt,negative,0,0.23728813559322037,1.0,0.0,"Master Bates followed, with a thoughtful countenance. The noise of footsteps on the creaking stairs, a few minutes after the occurrence of this conversation, roused the merry old gentleman as he sat over the fire with a saveloy and a small loaf in his hand; a pocket-knife in his right","; and a pewter pot on the trivet. There was a rascally smile on his white face as he turned round, and looking sharply out from under his thick red eyebrows, bent his ear towards the door, and listened."," scarce in camp. And there’s good eating on a bear. It would be a shame to leave the carcass without taking a bit, and it won’t delay us more than half an hour. I dare say you two youngsters—Kings, I should say—know how to skin a bear?”"
booktection_05840_A.txt,negative,0,0.2415094339622641,1.0,0.0,"“Not he,” said the Dwarf. “I saw the face and I heard the snarl. He only wanted Little Girl for his breakfast. And talking of breakfast, I didn’t want to discourage your Majesties when you said you hoped King Caspian would give you a good one: but meat’s precious"," scarce in camp. And there’s good eating on a bear. It would be a shame to leave the carcass without taking a bit, and it won’t delay us more than half an hour. I dare say you two youngsters—Kings, I should say—know how to skin a bear?”"," that’s how things are. Fish, chips, pickled onions, gherkins, sloppy peas. Nothing was too expensive for Nigel, he gets loads of pocket money. We walked round for a bit then we came back and watched  The Bug-Eyed Monster Strikes Back  on the television. I said the"
booktection_09976_A.txt,negative,0,0.2415094339622641,1.0,0.0,"We had a good laugh at  Waiting for Godot . Nigel had hysterics when I said that Vladimir and Estragon sounded like contraception pills. I now want onemore than anything in the world. If I had to choose between Pandora and a racing bike, I would choose the bike. Sorry, Pandora, but"," that’s how things are. Fish, chips, pickled onions, gherkins, sloppy peas. Nothing was too expensive for Nigel, he gets loads of pocket money. We walked round for a bit then we came back and watched  The Bug-Eyed Monster Strikes Back  on the television. I said the"," decision made me see that there was a different way I wrote when, even subconsciously, I was seeking male approval, male sexual approval: a more coy way, more reserved, more nervous about being perceived as angry or vulgar."
booktection_11382_A.txt,negative,0,0.21875,1.0,3.2239113249335336e-40,"But I neither longed for nor resented him, as Id always sensed he believed. Though Id been hurt and humiliated by his rejection, it had, I soon realized, freed me and offered clarity. I would never again risk poisoning TNO for myself by falling for or trying to date anyone there. And this"," decision made me see that there was a different way I wrote when, even subconsciously, I was seeking male approval, male sexual approval: a more coy way, more reserved, more nervous about being perceived as angry or vulgar.",. Pandora took the curtains down but they fell to pieces before she could get them to the sink.
booktection_03037_A.txt,negative,0,0.21923076923076923,1.0,0.0,I have just witnessed a miracle! This morning Bert’s carpets were dark grey in colour. Now one is a red Axminster and the other is a blue Wilton. The carpets are hanging on the clothes line to dry. We have scraped all the floors clean and washed the furniture down with a fungicide disinfectant,. Pandora took the curtains down but they fell to pieces before she could get them to the sink.," who left it there. But it had to be him. Who else would have a copy of these recordings? Your boyfriend made these tapes to cover his own ass. If he got caught, hed implicate your husband. A murder for hire is a much lighter sentence than first-degree murder."
booktection_13347_A.txt,negative,0,0.26538461538461533,1.0,0.0,"But he handed in these recordings, right? He must be cooperating with the police. Would Carter reveal our plot to save himself? Send me down for his plan? Of course he would. Fool me once The thumb drive was submitted anonymously. Dropped off at a precinct in South Seattle. The duty officer didnt even see"," who left it there. But it had to be him. Who else would have a copy of these recordings? Your boyfriend made these tapes to cover his own ass. If he got caught, hed implicate your husband. A murder for hire is a much lighter sentence than first-degree murder."," ease, free from the presentiment of change. The sense of security more frequently springs from habit than from conviction, and for this reason it often subsists after such a change in the conditions as might have been expected to suggest alarm."
booktection_01944_A.txt,negative,0,0.281021897810219,1.0,0.0,"When Dunstan Cass turned his back on the cottage, Silas Marner was not more than a hundred yards away from it, plodding along from the village with a sack thrown round his shoulders as an overcoat, and with a horn lantern in his hand. His legs were weary, but his mind was at"," ease, free from the presentiment of change. The sense of security more frequently springs from habit than from conviction, and for this reason it often subsists after such a change in the conditions as might have been expected to suggest alarm."," palm of my hands. Was this it? What I had been searching for all of these years? Wrenville Hall is a spectre that haunts us all from one generation to the next  I was almost too afraid to touch the paper  I had some irrational fear that, having survived all these years, it"
booktection_15755_A.txt,negative,0,0.1934306569343066,1.0,1.9454191547759827e-38,"I have devoted an entire lifetime to escaping the confines of this wretched place, only to find myself further entangled in its gnarled roots and oppressed by its looming towers. I am now satisfied that no one born on this land can wipe the dust of it from ones heels. I held my flushed cheeks with the"," palm of my hands. Was this it? What I had been searching for all of these years? Wrenville Hall is a spectre that haunts us all from one generation to the next  I was almost too afraid to touch the paper  I had some irrational fear that, having survived all these years, it", question about her marriage date. And Simon was too much a coward to repeat it.
booktection_12324_A.txt,negative,0,0.23188405797101452,1.0,0.0,"Simon couldnt help but look back at her and see her expression. She looked up at Penworth and its ivy-covered walls with a melancholy expression, but it was as if she felt sadness for someone other than herself. Perhaps she hadnt internalized that this house would soon be hers. Shed never answered the", question about her marriage date. And Simon was too much a coward to repeat it.," of Fire, a plague that beset the people of Yikala. It must have returned. Whatever attacked our king, we can be sure it serves our enemy."
booktection_10461_A.txt,negative,0,0.2407407407407407,1.0,0.0,"Wulf said, Was I really the only one who lived? It appears so. The rest were burned, drowned or frozen. I sent divers and ships to look. He closed his eyes. The Plague of fandauth is spreading, Einlek said. The Nameless One brought a sickness from the Womb"," of Fire, a plague that beset the people of Yikala. It must have returned. Whatever attacked our king, we can be sure it serves our enemy."," the Dwarfs and Dryads and Fauns and  other creatures quite as much as to the men. Any who chose to stay under the new conditions might do so; but for those who did not like the idea, Aslan would provide another home. Anyone who wished to go there must come to Aslan and"
booktection_09293_A.txt,negative,0,0.22939068100358428,1.0,0.0,"Next day messengers (who were chiefly squirrels and birds) were sent all over the country with a proclamation to the scattered Telmarines—including, of course, the prisoners in Beruna. They were told that Caspian was now King and that Narnia would henceforth belong to the Talking Beasts and"," the Dwarfs and Dryads and Fauns and  other creatures quite as much as to the men. Any who chose to stay under the new conditions might do so; but for those who did not like the idea, Aslan would provide another home. Anyone who wished to go there must come to Aslan and"," seemed as if they grew right out of the stone. It had been a long day, full of subterfuge and secrets and what amounted to treason in the eyes of the occupiers. Vivian had promised Camille her loyalty. She had to believe the woman was sincere. Rachel’s steps were sluggish. They"
